hhId,income,age,region1,region2,region3,min
1,2988.90172656767,43.2221518467014,0,0,1,1.02754284070478
2,2884.0925992792,53.4967736050391,0,0,1,0
3,3766.13771681473,35.8203519306372,0,0,1,0
4,2608.16390102165,22.940304472028,0,1,0,2.40710878259402
5,3035.31647018816,19.9104522215139,0,1,0,6.24636395334456
6,1843.56628570972,33.7385176285965,0,1,0,0
7,2450.31795677435,43.4560769519509,0,1,0,0
8,1387.92634806716,37.0388659936056,0,0,1,0
9,2591.00554075208,38.6682830609826,0,1,0,2.27729886917484
10,1609.44243297529,50.5276912993093,0,0,1,0
11,1312.4110781414,42.6372335715768,0,0,1,1.04754027415899
12,3551.02940982685,30.0921953305415,0,0,1,0
13,1739.41482221439,51.7554099445624,0,1,0,0
14,1588.79913311102,54.5624613014289,0,1,0,0
15,3271.30960948529,45.97609059233,1,0,0,1.20954186333141
16,2538.68551192703,29.9894791477558,0,0,1,0
17,3804.83297574083,16.8894425852184,0,1,0,3.18750359238275
18,2493.13208229056,45.3503592386114,0,1,0,0
19,3783.24286451364,25.1827972162932,0,1,0,1.62066541404663
20,1571.98977916618,18.3490249856215,0,1,0,3.92677725343721
21,1227.4301895565,63.102806046304,0,0,1,0
22,1259.11403947896,46.9523234853473,0,1,0,0
23,1999.23654739376,27.5816594771859,0,1,0,2.08898974108527
24,3970.8654993104,49.8501293482905,0,1,0,2.7057237600667
25,2381.69632272025,34.3565705457571,1,0,0,2.61691222708852
26,1722.03232777991,63.3059523870564,1,0,0,1.44779591469973
27,1641.7495384942,39.226082285856,0,0,1,1.5520273528534
28,3378.61206208023,60.5671702031874,0,0,1,0
29,3871.0240165853,64.5600644237588,0,1,0,0
30,1825.77261744585,37.7438639221259,0,1,0,1.82719771590601
31,1380.42032872753,60.5732683108451,0,1,0,0
32,1186.54547809301,58.7678450151849,1,0,0,0
33,1564.70791245914,33.2280609218358,0,0,1,1.00992523524519
34,1262.3531014588,48.6293451413195,0,0,1,0
35,3700.84087326001,53.3734776978814,0,1,0,0
36,2591.6018931254,35.8676072585927,0,0,1,1.6727016339683
37,1684.38805938829,52.5437481657728,0,1,0,1.35833302803502
38,1364.47174172431,18.6101212178038,0,1,0,0
39,3279.70722416672,37.8110971159287,0,1,0,0
40,3575.89441726319,35.232353069581,0,1,0,2.74658851908443
41,2025.34568109012,53.9052991533229,0,1,0,2.15936728843375
42,1875.4631967663,44.0283225877284,1,0,0,0
43,2743.08213329012,57.9753349354062,0,0,1,0
44,3689.66567926791,37.4841623603415,0,0,1,0
45,2662.78442614164,46.4552118591469,0,1,0,0
46,3194.19600649196,44.486650298551,0,0,1,1.22251270704086
47,3376.34997655915,41.0446473267303,0,0,1,0
48,1761.00960744852,41.3473425441951,0,0,1,2.0268794104238
49,2964.43862301422,53.3622884545086,0,1,0,0
50,2337.72177941397,23.1477263357193,0,1,0,3.29889899151427
51,3822.15321611254,46.5317512064631,0,1,0,2.35089529461432
52,2084.59644808912,36.3816312754407,0,0,1,0
53,3895.30398917577,22.9713194247089,0,0,1,0
54,1126.40643312344,56.6126551303735,0,1,0,0
55,3170.05661217896,44.0494857767216,0,1,0,0
56,1379.08234867988,17.6025580114469,0,0,1,0
57,2696.09616221299,36.5514328751068,0,1,0,0
58,1746.72402154123,38.9946917975245,0,0,1,0
59,2852.5503053249,24.5991825393465,0,1,0,0
60,1368.86273372528,29.6810167433619,0,0,1,1.2633498367999
61,3900.31009792571,22.0661225585885,1,0,0,1.36393228222775
62,1030.61208034566,30.9562260143293,0,1,0,0
63,3194.88844953213,49.8028969387188,0,1,0,2.29410662242981
64,2889.20858094108,31.299036970253,0,1,0,3.53510268165693
65,2702.84923526957,18.1950850200278,0,0,1,0
66,3028.75919668078,56.4027941062286,0,0,1,1.65088982743698
67,3197.28821034835,44.081161546503,0,0,1,0
68,3986.77968919848,41.9697003701317,0,1,0,1.96913757062764
69,1290.5312809289,43.6095261474336,0,1,0,1.87818840336282
70,1085.91157015359,51.2554723737505,0,0,1,1.52703017826472
71,1697.76004243541,15.3515877294715,0,1,0,0
72,2856.62372783897,37.2822949144062,0,0,1,0
73,1293.15853059302,32.4603684376591,0,1,0,0
74,1633.91379625749,31.6112592261621,0,0,1,0
75,1439.09803477704,28.0960020684708,0,0,1,1.33247931553661
76,3844.35569987124,36.0346277751106,0,1,0,0
77,3754.90847605683,31.6580060734437,0,1,0,0
78,2151.54509157217,26.28978628938,0,1,0,3.2071658190069
79,1030.33237764523,17.2563789319682,0,0,1,0
80,1642.44617996503,38.6755103373249,0,0,1,1.21832517549502
81,2048.93198126393,41.8657907748936,0,1,0,0
82,2046.02251674183,63.575136005327,0,1,0,1.43600658356211
83,1196.34338878216,39.3064254038471,1,0,0,0
84,2832.40413177426,23.5954935507128,1,0,0,3.11199877614569
85,2179.41736989506,61.6302615406731,0,1,0,0
86,3919.53986789105,34.6519359375865,0,0,1,0
87,2439.0921556174,38.7678577359507,0,1,0,0
88,2486.80875941007,47.612709844667,0,1,0,1.42295565913472
89,1786.27040518585,62.1489483597518,0,1,0,0
90,2158.39681988007,64.1214942201606,0,0,1,0
91,3890.32665905492,51.9023303077698,0,1,0,1.74291797641691
92,2393.64769665777,44.8839525194938,0,1,0,1.32389137887099
93,2394.66983302236,43.443958929056,0,1,0,0
94,1187.21690211319,42.0193292015503,0,0,1,1.33058104017784
95,1023.04592847171,22.9631214599964,0,0,1,0
96,2335.34417156807,27.1259269711656,0,0,1,2.00539542958925
97,1249.96230800373,18.2882047808011,0,1,0,4.44867014013245
98,2062.98259736126,37.5286358473561,0,1,0,0
99,2284.12339799205,19.9304192808698,1,0,0,0
100,2423.82881560037,32.261739364943,0,0,1,1.37422877723305
101,2794.7597949278,39.8453580740493,0,1,0,2.1342608840909
102,3141.12551590141,43.0411724353146,0,1,0,0
103,2307.01162475206,41.0754038559983,0,0,1,0
104,3843.89526897337,48.9934526470084,1,0,0,1.50707245900707
